record_index,section,data_title,data_slug,data_category,data_duration,match_status,confidence,image_category,image_program_folder,cover_path,gallery_path,cover_alt,gallery_alt,replacement_recommended,warning,validation_status,notes
10,tour,Marrakech to Fes Desert Tour — 3 Days via Sahara,marrakech-to-fes-desert-tour-3-days-via-sahara,Tours from Marrakech,3 days,high-confidence,0.88,Tours from Marrakech,3-day Marrakech to Merzouga and Fes,assets/images/programs/Tours from Marrakech/3-day Marrakech to Merzouga and Fes/3-day-marrakech-to-merzouga-and-fes-fes-medina-tanneries-aerial-cover.webp,assets/images/programs/Tours from Marrakech/3-day Marrakech to Merzouga and Fes/3-day-marrakech-to-merzouga-and-fes-dades-gorge-winding-road-gallery.webp,Aerial view over the Fes medina and its ancient tannery pits,Hairpin bends of the famous Dades gorge mountain road,no,limited-compression-benefit; low-resolution; limited-compression-benefit,ok,
11,tour,4 Day Desert Tour from Marrakech to Merzouga,4-day-desert-tour-from-marrakech-to-merzouga,Tours from Marrakech,4 days,normalized-exact,0.97,Tours from Marrakech,4-day Marrakech to Merzouga,assets/images/programs/Tours from Marrakech/4-day Marrakech to Merzouga/4-day-marrakech-to-merzouga-erg-chebbi-camel-trek-tourists-cover.webp,assets/images/programs/Tours from Marrakech/4-day Marrakech to Merzouga/4-day-marrakech-to-merzouga-ait-benhaddou-kasbah-sunset-gallery.webp,Visitors riding camels in single file across Erg Chebbi,Ait Benhaddou ksar above palm groves in warm sunset light,no,clean; clean,ok,
12,tour,4-Day Desert Tour from Marrakech via Sahara to Chefchaouen,4-day-desert-tour-from-marrakech-via-sahara-to-chefchaouen,Tours from Marrakech,4 days,normalized-exact,0.97,Tours from Marrakech,4-day Marrakech to Chefchaouen via Sahara,assets/images/programs/Tours from Marrakech/4-day Marrakech to Chefchaouen via Sahara/4-day-marrakech-to-chefchaouen-via-sahara-chefchaouen-blue-medina-archway-cover.webp,assets/images/programs/Tours from Marrakech/4-day Marrakech to Chefchaouen via Sahara/4-day-marrakech-to-chefchaouen-via-sahara-sahara-dunes-camel-berber-guide-gallery.webp,Vine-covered blue archway in a Chefchaouen medina alley,Berber guide leading his camel across rippled Sahara dunes,no,limited-compression-benefit; low-resolution; limited-compression-benefit,ok,
13,tour,Luxury Sahara Desert Tour from Marrakech — 5 Days,luxury-sahara-desert-tour-from-marrakech-5-days,Tours from Marrakech,5 days,high-confidence,0.85,Tours from Marrakech,5-day Marrakech to Merzouga desert,assets/images/programs/Tours from Marrakech/5-day Marrakech to Merzouga desert/5-day-marrakech-to-merzouga-desert-merzouga-desert-camp-aerial-cover.webp,assets/images/programs/Tours from Marrakech/5-day Marrakech to Merzouga desert/5-day-marrakech-to-merzouga-desert-dades-gorges-sunset-road-gallery.webp,Aerial view of a circular desert camp among the Merzouga dunes,Road and river winding through the Dades gorges at dusk,no,limited-compression-benefit; clean,ok,Record title emphasises 'Luxury' but is the same 5-day Marrakech-Merzouga loop as the image folder.
14,tour,8 Days Marrakech: Zagora & Merzouga,8-days-marrakech-zagora-and-merzouga,Tours from Marrakech,8 days,normalized-exact,0.95,Tours from Marrakech,8-day Marrakech to Zagora and Merzouga,assets/images/programs/Tours from Marrakech/8-day Marrakech to Zagora and Merzouga/8-day-marrakech-to-zagora-and-merzouga-draa-valley-palm-grove-jbel-kissane-cover.webp,assets/images/programs/Tours from Marrakech/8-day Marrakech to Zagora and Merzouga/8-day-marrakech-to-zagora-and-merzouga-zagora-desert-camel-ride-shadows-gallery.webp,Draa valley palm grove beneath the flat-topped Jbel Kissane,Rider's view of camels casting long shadows on the Zagora track,no,medium-confidence-subject; low-resolution; limited-compression-benefit; low-resolution; limited-compression-benefit,ok,
15,tour,8-Day Marrakech Sahara Desert Tour to Fes & Chefchaouen,8-day-marrakech-sahara-desert-tour-to-fes-and-chefchaouen,Tours from Marrakech,8 days,high-confidence,0.88,Tours from Marrakech,8-day Marrakech desert Chefchaouen,assets/images/programs/Tours from Marrakech/8-day Marrakech desert Chefchaouen/8-day-marrakech-desert-chefchaouen-chefchaouen-blue-city-hillside-cover.webp,assets/images/programs/Tours from Marrakech/8-day Marrakech desert Chefchaouen/8-day-marrakech-desert-chefchaouen-sahara-camel-caravan-sunset-gallery.webp,Colourful hillside houses of the Chefchaouen medina,Camel caravan riding towards the setting Sahara sun,no,limited-compression-benefit; clean,ok,
16,tour,2 Days Fes to Chefchaouen,2-days-fes-to-chefchaouen,Tours from Fes,2 days,normalized-exact,0.92,Tours from Fes,2-day Fes to Chefchaouen and back,assets/images/programs/Tours from Fes/2-day Fes to Chefchaouen and back/2-day-fes-to-chefchaouen-and-back-chefchaouen-medina-valley-panorama-cover.webp,assets/images/programs/Tours from Fes/2-day Fes to Chefchaouen and back/2-day-fes-to-chefchaouen-and-back-chefchaouen-blue-doors-flower-pots-gallery.webp,Wide view over the Chefchaouen medina and surrounding valley,Blue doors and colourful flower pots on a Chefchaouen wall,no,limited-compression-benefit; low-resolution; limited-compression-benefit,ok,
17,tour,2 Days Fes to Sahara Desert & Back,2-days-fes-to-sahara-desert-and-back,Tours from Fes,2 days,high-confidence,0.88,Tours from Fes,2-day Fes to Merzouga and back,assets/images/programs/Tours from Fes/2-day Fes to Merzouga and back/2-day-fes-to-merzouga-and-back-merzouga-dome-desert-camp-dunes-cover.webp,assets/images/programs/Tours from Fes/2-day Fes to Merzouga and back/2-day-fes-to-merzouga-and-back-azrou-cedar-forest-barbary-macaques-gallery.webp,Dome tents of a desert camp set on the Merzouga dunes,Barbary macaques on mossy rocks in the Azrou cedar forest,no,clean; limited-compression-benefit,ok,"Record says 'Sahara Desert', folder says 'Merzouga' - same program; Merzouga is the Sahara dune destination from Fes."
18,tour,3 Days Fes to Merzouga Desert,3-days-fes-to-merzouga-desert,Tours from Fes,3 days,normalized-exact,0.92,Tours from Fes,3-day Fes to Merzouga desert and back,assets/images/programs/Tours from Fes/3-day Fes to Merzouga desert and back/3-day-fes-to-merzouga-desert-and-back-merzouga-guided-camel-trek-cover.webp,assets/images/programs/Tours from Fes/3-day Fes to Merzouga desert and back/3-day-fes-to-merzouga-desert-and-back-erg-chebbi-dunes-sunset-gallery.webp,Guide leading visitors on a camel trek across the Merzouga dunes,Rippled sand dunes of Erg Chebbi in low golden light,no,low-resolution; low-resolution; limited-compression-benefit,ok,
19,tour,3-Day Fes to Marrakech Desert Tour via Sahara,3-day-fes-to-marrakech-desert-tour-via-sahara,Tours from Fes,3 days,high-confidence,0.89,Tours from Fes,3-day Fes to Merzouga dunes and Marrakech,assets/images/programs/Tours from Fes/3-day Fes to Merzouga dunes and Marrakech/3-day-fes-to-merzouga-dunes-and-marrakech-todra-gorge-canyon-carpets-cover.webp,assets/images/programs/Tours from Fes/3-day Fes to Merzouga dunes and Marrakech/3-day-fes-to-merzouga-dunes-and-marrakech-koutoubia-mosque-marrakech-gallery.webp,Carpet stalls beneath the towering walls of the Todra gorge,Koutoubia Mosque minaret above the trees of central Marrakech,no,limited-compression-benefit; limited-compression-benefit,ok,
20,tour,4-Day Fes to Marrakech Desert Tour via Merzouga,4-day-fes-to-marrakech-desert-tour-via-merzouga,Tours from Fes,4 days,high-confidence,0.89,Tours from Fes,4-day Fes to Sahara and Marrakech,assets/images/programs/Tours from Fes/4-day Fes to Sahara and Marrakech/4-day-fes-to-sahara-and-marrakech-merzouga-camel-caravan-sunset-cover.webp,assets/images/programs/Tours from Fes/4-day Fes to Sahara and Marrakech/4-day-fes-to-sahara-and-marrakech-dades-valley-red-hills-fields-gallery.webp,Camel caravan on a dune ridge near Merzouga at sunset,Red hills and green farm plots at the entrance to the Dades valley,no,limited-compression-benefit; clean,ok,
21,tour,5-Day Fes to Marrakech Desert Tour via Sahara,5-day-fes-to-marrakech-desert-tour-via-sahara,Tours from Fes,5 days,high-confidence,0.89,Tours from Fes,5-day Fes to Merzouga and Marrakech,assets/images/programs/Tours from Fes/5-day Fes to Merzouga and Marrakech/5-day-fes-to-merzouga-and-marrakech-erg-chebbi-dune-berber-guide-cover.webp,assets/images/programs/Tours from Fes/5-day Fes to Merzouga and Marrakech/5-day-fes-to-merzouga-and-marrakech-ait-benhaddou-kasbah-river-gallery.webp,Blue-robed guide standing on a rippled Erg Chebbi dune,Traveller facing the Ait Benhaddou ksar across the riverbed,no,clean; clean,ok,
22,tour,12-Day Morocco Desert Tours from Tangier,12-day-morocco-desert-tours-from-tangier,Tours from Tangier,12 days,normalized-exact,0.9,Tours from Tangier,12-day Tangier grand tour,assets/images/programs/Tours from Tangier/12-day Tangier grand tour/12-day-tangier-grand-tour-tangier-medina-old-walls-cover.webp,assets/images/programs/Tours from Tangier/12-day Tangier grand tour/12-day-tangier-grand-tour-morocco-highlights-brand-collage-gallery.webp,Whitewashed houses of the Tangier medina above the old city walls,Collage of Morocco travel highlights with the Authentic Morocco Adventures logo,yes,limited-compression-benefit; medium-confidence-subject; promotional-image; recommended-for-replacement; limited-compression-benefit,ok,
23,tour,2-Day Morocco Desert Tour from Tangier to Chefchaouen,2-day-morocco-desert-tour-from-tangier-to-chefchaouen,Tours from Tangier,2 days,normalized-exact,0.97,Tours from Tangier,2-day Tangier to Chefchaouen,assets/images/programs/Tours from Tangier/2-day Tangier to Chefchaouen/2-day-tangier-to-chefchaouen-cape-spartel-lighthouse-tangier-cover.webp,assets/images/programs/Tours from Tangier/2-day Tangier to Chefchaouen/2-day-tangier-to-chefchaouen-chefchaouen-night-panorama-gallery.webp,Cape Spartel lighthouse above the Atlantic near Tangier,Chefchaouen glowing at night beneath the Rif mountains,yes,clean; watermarked; recommended-for-replacement,ok,
24,tour,3-Day Morocco Desert Tour from Tangier to Chefchaouen & Fes,3-day-morocco-desert-tour-from-tangier-to-chefchaouen-and-fes,Tours from Tangier,3 days,high-confidence,0.82,Tours from Tangier,3-day North Morocco from Tangier,assets/images/programs/Tours from Tangier/3-day North Morocco from Tangier/3-day-north-morocco-from-tangier-tetouan-white-medina-square-cover.webp,assets/images/programs/Tours from Tangier/3-day North Morocco from Tangier/3-day-north-morocco-from-tangier-chefchaouen-medina-souvenir-shops-gallery.webp,Whitewashed medina and square of Tetouan in northern Morocco,Souvenir shops lining a blue street in the Chefchaouen medina,no,clean; low-resolution; limited-compression-benefit,ok,"Cover image shows Tetouan's medina, which is in the same northern region but not explicitly listed in the itinerary. Consider replacing if exact itinerary matching is required."
25,tour,4-Day Morocco Desert Tour from Tangier to Fes via Atlantic Coast,4-day-morocco-desert-tour-from-tangier-to-fes-via-atlantic-coast,Tours from Tangier,4 days,normalized-exact,0.95,Tours from Tangier,4-day Tangier to Fes and Atlantic coast,assets/images/programs/Tours from Tangier/4-day Tangier to Fes and Atlantic coast/4-day-tangier-to-fes-and-atlantic-coast-asilah-medina-atlantic-coast-cover.webp,assets/images/programs/Tours from Tangier/4-day Tangier to Fes and Atlantic coast/4-day-tangier-to-fes-and-atlantic-coast-fes-chouara-tannery-gallery.webp,Whitewashed medina walls of Asilah on the Atlantic coast,Stone dye pits of the Chouara tannery in the Fes medina,no,limited-compression-benefit; low-resolution; limited-compression-benefit,ok,
26,tour,6-Day Morocco Desert Tour from Tangier to Sahara & Marrakech,6-day-morocco-desert-tour-from-tangier-to-sahara-and-marrakech,Tours from Tangier,6 days,high-confidence,0.88,Tours from Tangier,6-day Tangier to desert,assets/images/programs/Tours from Tangier/6-day Tangier to desert/6-day-tangier-to-desert-merzouga-dunes-quad-biking-cover.webp,assets/images/programs/Tours from Tangier/6-day Tangier to desert/6-day-tangier-to-desert-volubilis-roman-ruins-arch-gallery.webp,Quad bike crossing the Merzouga dunes with camels nearby,Roman arch and paved way at the Volubilis ruins,no,clean; clean,ok,
27,tour,9-Day Morocco Desert Tour from Tangier to Merzouga,9-day-morocco-desert-tour-from-tangier-to-merzouga,Tours from Tangier,9 days,high-confidence,0.88,Tours from Tangier,9-day Tangier to desert,assets/images/programs/Tours from Tangier/9-day Tangier to desert/9-day-tangier-to-desert-sahara-camel-caravan-dune-shadows-cover.webp,assets/images/programs/Tours from Tangier/9-day Tangier to desert/9-day-tangier-to-desert-merzouga-camel-caravan-berber-guides-gallery.webp,Camel caravan casting long shadows across sweeping Sahara dunes,Berber guides preparing a saddled camel caravan on the dunes,no,clean; clean,ok,
28,tour,2 Days Agadir to Zagora Desert,2-days-agadir-to-zagora-desert,Tours from Agadir,2 days / 1 night,normalized-exact,0.98,Tours from Agadir,2-day Agadir to Zagora desert,assets/images/programs/Tours from Agadir/2-day Agadir to Zagora desert/2-day-agadir-to-zagora-desert-draa-valley-kasbah-village-cover.webp,assets/images/programs/Tours from Agadir/2-day Agadir to Zagora desert/2-day-agadir-to-zagora-desert-zagora-desert-rock-formations-gallery.webp,Earthen kasbah village on the desert route through the Draa valley,Eroded rock formations under a rainbow in the Zagora desert,no,medium-confidence-subject; limited-compression-benefit; medium-confidence-subject; limited-compression-benefit,ok,
29,tour,3 Days Agadir to Chigaga Desert,3-days-agadir-to-chigaga-desert,Tours from Agadir,3 days / 2 nights,normalized-exact,0.98,Tours from Agadir,3-day Agadir to Chigaga desert,assets/images/programs/Tours from Agadir/3-day Agadir to Chigaga desert/3-day-agadir-to-chigaga-desert-sahara-dunes-berber-tea-setting-cover.webp,assets/images/programs/Tours from Agadir/3-day Agadir to Chigaga desert/3-day-agadir-to-chigaga-desert-erg-chigaga-dunes-desert-camp-gallery.webp,Tea table and cushions arranged on the golden Sahara dunes,Traveller walking the Erg Chigaga dunes towards a desert camp,no,clean; low-resolution; limited-compression-benefit,ok,
30,tour,4 Days Agadir to Merzouga Desert,4-days-agadir-to-merzouga-desert,Tours from Agadir,4 days / 3 nights,normalized-exact,0.98,Tours from Agadir,4-day Agadir to Merzouga desert,assets/images/programs/Tours from Agadir/4-day Agadir to Merzouga desert/4-day-agadir-to-merzouga-desert-merzouga-dunes-motorbike-ride-cover.webp,assets/images/programs/Tours from Agadir/4-day Agadir to Merzouga desert/4-day-agadir-to-merzouga-desert-taroudant-city-walls-gate-gallery.webp,Motorbike climbing a tall sand dune near Merzouga,Historic ramparts and gate of Taroudant with palm trees,no,clean; medium-confidence-subject; low-resolution; limited-compression-benefit,ok,
31,tour,5-Day Morocco Desert Tour from Chefchaouen to Sahara,5-day-morocco-desert-tour-from-chefchaouen-to-sahara,Tours from Chefchaouen,5 days / 4 nights,normalized-exact,0.95,Tours from Chefchaouen,5-day Chefchaouen to Sahara desert,assets/images/programs/Tours from Chefchaouen/5-day Chefchaouen to Sahara desert/5-day-chefchaouen-to-sahara-desert-chefchaouen-rooftops-rif-mountains-cover.webp,assets/images/programs/Tours from Chefchaouen/5-day Chefchaouen to Sahara desert/5-day-chefchaouen-to-sahara-desert-erg-chebbi-camel-caravan-guides-gallery.webp,Blue rooftops of Chefchaouen against the Rif mountains,Blue-robed guides leading a camel caravan over Erg Chebbi dunes,yes,low-resolution; limited-compression-benefit; watermarked; recommended-for-replacement,ok,
32,tour,6-Day Morocco Desert Tour from Chefchaouen to Marrakech,6-day-morocco-desert-tour-from-chefchaouen-to-marrakech,Tours from Chefchaouen,6 days / 5 nights,normalized-exact,0.95,Tours from Chefchaouen,6-day Chefchaouen to Marrakech desert,assets/images/programs/Tours from Chefchaouen/6-day Chefchaouen to Marrakech desert/6-day-chefchaouen-to-marrakech-desert-sahara-luxury-desert-camp-dining-cover.webp,assets/images/programs/Tours from Chefchaouen/6-day Chefchaouen to Marrakech desert/6-day-chefchaouen-to-marrakech-desert-chefchaouen-blue-medina-alley-gallery.webp,Lantern-lit dining tables at a desert camp among the dunes,Man in a djellaba walking a blue alley of the Chefchaouen medina,no,limited-compression-benefit; low-resolution; limited-compression-benefit,ok,
33,tour,7-Day Morocco Desert Tour from Chefchaouen Around Morocco,7-day-morocco-desert-tour-from-chefchaouen-around-morocco,Tours from Chefchaouen,7 days / 6 nights,normalized-exact,0.95,Tours from Chefchaouen,7-day around Morocco from Chefchaouen,assets/images/programs/Tours from Chefchaouen/7-day around Morocco from Chefchaouen/7-day-around-morocco-from-chefchaouen-chefchaouen-blue-city-panorama-cover.webp,assets/images/programs/Tours from Chefchaouen/7-day around Morocco from Chefchaouen/7-day-around-morocco-from-chefchaouen-volubilis-roman-ruins-gallery.webp,Hillside panorama of Chefchaouen's blue and white medina,Stone columns of the Roman basilica at Volubilis,no,low-resolution; limited-compression-benefit; low-resolution; limited-compression-benefit,ok,
34,tour,2 Days Ouarzazate to Merzouga,2-days-ouarzazate-to-merzouga,Tours from Ouarzazate,2 days / 1 nights,normalized-exact,0.92,Tours from Ouarzazate,2-day Ouarzazate to Merzouga and back,assets/images/programs/Tours from Ouarzazate/2-day Ouarzazate to Merzouga and back/2-day-ouarzazate-to-merzouga-and-back-merzouga-luxury-desert-camp-aerial-cover.webp,assets/images/programs/Tours from Ouarzazate/2-day Ouarzazate to Merzouga and back/2-day-ouarzazate-to-merzouga-and-back-ouarzazate-taourirt-kasbah-gallery.webp,Aerial dusk view of a tented camp set in the Merzouga dunes,Taourirt Kasbah rising over its square in Ouarzazate,no,limited-compression-benefit; low-resolution; limited-compression-benefit,ok,
35,tour,3 Days Ouarzazate: Merzouga & Fes,3-days-ouarzazate-merzouga-and-fes,Tours from Ouarzazate,3 days / 2 nights,normalized-exact,0.95,Tours from Ouarzazate,3-day Ouarzazate to Merzouga and Fes,assets/images/programs/Tours from Ouarzazate/3-day Ouarzazate to Merzouga and Fes/3-day-ouarzazate-to-merzouga-and-fes-todra-gorge-canyon-walk-cover.webp,assets/images/programs/Tours from Ouarzazate/3-day Ouarzazate to Merzouga and Fes/3-day-ouarzazate-to-merzouga-and-fes-merzouga-camel-trek-group-gallery.webp,Couple walking the canyon floor between Todra gorge cliffs,Group riding camels in line across the pale Merzouga dunes,no,limited-compression-benefit; low-resolution,ok,
36,tour,3 Days Ouarzazate to Merzouga Desert,3-days-ouarzazate-to-merzouga-desert,Tours from Ouarzazate,3 days / 2 nights,normalized-exact,0.98,Tours from Ouarzazate,3-day Ouarzazate to Merzouga desert,assets/images/programs/Tours from Ouarzazate/3-day Ouarzazate to Merzouga desert/3-day-ouarzazate-to-merzouga-desert-erg-chebbi-dunes-sunrise-cover.webp,assets/images/programs/Tours from Ouarzazate/3-day Ouarzazate to Merzouga desert/3-day-ouarzazate-to-merzouga-desert-ait-benhaddou-kasbah-atlas-dusk-gallery.webp,Sun rising over the rippled dunes of Erg Chebbi,Kasbah village at dusk with snow-capped Atlas peaks behind,no,limited-compression-benefit; medium-confidence-subject; low-resolution,ok,
37,tour,11 Days Grand Morocco Tour,11-days-grand-morocco-tour,Tours from Casablanca,11 days / 10 nights,normalized-exact,0.92,Desert Tours from Casablanca,11-day grand tour from Casablanca,assets/images/programs/Desert Tours from Casablanca/11-day grand tour from Casablanca/11-day-grand-tour-from-casablanca-hassan-ii-mosque-casablanca-cover.webp,assets/images/programs/Desert Tours from Casablanca/11-day grand tour from Casablanca/11-day-grand-tour-from-casablanca-skoura-oasis-kasbah-camel-gallery.webp,Hassan II Mosque and its minaret beside the Casablanca coastline,Camel resting before an earthen kasbah in the Skoura oasis,no,duplicate-source; clean,ok,
38,tour,14 Days Grand Morocco Tour,14-days-grand-morocco-tour,Tours from Casablanca,14 days / 13 nights,normalized-exact,0.95,Desert Tours from Casablanca,14-day grand Morocco tour from Casablanca,assets/images/programs/Desert Tours from Casablanca/14-day grand Morocco tour from Casablanca/14-day-grand-morocco-tour-from-casablanca-chefchaouen-blue-city-sunset-cover.webp,assets/images/programs/Desert Tours from Casablanca/14-day grand Morocco tour from Casablanca/14-day-grand-morocco-tour-from-casablanca-tizi-n-test-mountain-road-gallery.webp,Blue-washed houses of Chefchaouen glowing at dusk,Winding Tizi n'Test road crossing the High Atlas mountains,no,limited-compression-benefit; limited-compression-benefit,ok,
39,tour,2 Days Casablanca to Marrakech,2-days-casablanca-to-marrakech,Tours from Casablanca,2 Days / 1 Night,normalized-exact,0.98,Desert Tours from Casablanca,2-day Casablanca to Marrakech,assets/images/programs/Desert Tours from Casablanca/2-day Casablanca to Marrakech/2-day-casablanca-to-marrakech-koutoubia-mosque-marrakech-cover.webp,assets/images/programs/Desert Tours from Casablanca/2-day Casablanca to Marrakech/2-day-casablanca-to-marrakech-casablanca-skyline-hassan-ii-mosque-gallery.webp,Koutoubia Mosque minaret above the trees of central Marrakech,Casablanca rooftops with the Hassan II Mosque on the horizon,no,limited-compression-benefit; limited-compression-benefit,ok,
