category,program,role,source_absolute_path,source_relative_path,destination_absolute_path,filename,source_width,source_height,source_size_bytes,source_sha256,destination_exists,destination_sha256,copy_action,warning,status
Desert Tours from Casablanca,2-day Casablanca to Chefchaouen,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\2-day Casablanca to Chefchaouen\2-day-casablanca-to-chefchaouen-chefchaouen-blue-medina-stairs-cover.webp,Desert Tours from Casablanca\2-day Casablanca to Chefchaouen\2-day-casablanca-to-chefchaouen-chefchaouen-blue-medina-stairs-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\2-day Casablanca to Chefchaouen\2-day-casablanca-to-chefchaouen-chefchaouen-blue-medina-stairs-cover.webp,2-day-casablanca-to-chefchaouen-chefchaouen-blue-medina-stairs-cover.webp,612,408,82698,bf44c62b04a028a199f533dcbc958c1abe5a2b2176b779e198e335500745b0ff,no,,safe-new-file,,planned
Desert Tours from Casablanca,2-day Casablanca to Chefchaouen,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\2-day Casablanca to Chefchaouen\2-day-casablanca-to-chefchaouen-chefchaouen-medina-carpet-souk-gallery.webp,Desert Tours from Casablanca\2-day Casablanca to Chefchaouen\2-day-casablanca-to-chefchaouen-chefchaouen-medina-carpet-souk-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\2-day Casablanca to Chefchaouen\2-day-casablanca-to-chefchaouen-chefchaouen-medina-carpet-souk-gallery.webp,2-day-casablanca-to-chefchaouen-chefchaouen-medina-carpet-souk-gallery.webp,669,446,154730,326ac66425e1f70ef21bbff548285ea9eacb45ee4b695a0d6e4b5917514c5496,no,,safe-new-file,,planned
Desert Tours from Casablanca,2-day Casablanca to Marrakech,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\2-day Casablanca to Marrakech\2-day-casablanca-to-marrakech-casablanca-skyline-hassan-ii-mosque-gallery.webp,Desert Tours from Casablanca\2-day Casablanca to Marrakech\2-day-casablanca-to-marrakech-casablanca-skyline-hassan-ii-mosque-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\2-day Casablanca to Marrakech\2-day-casablanca-to-marrakech-casablanca-skyline-hassan-ii-mosque-gallery.webp,2-day-casablanca-to-marrakech-casablanca-skyline-hassan-ii-mosque-gallery.webp,1020,498,119836,606b80f7cab4da11fab1d062acb090c4859b34bbc4da867526df4bd49d09dbeb,no,,safe-new-file,,planned
Desert Tours from Casablanca,2-day Casablanca to Marrakech,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\2-day Casablanca to Marrakech\2-day-casablanca-to-marrakech-koutoubia-mosque-marrakech-cover.webp,Desert Tours from Casablanca\2-day Casablanca to Marrakech\2-day-casablanca-to-marrakech-koutoubia-mosque-marrakech-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\2-day Casablanca to Marrakech\2-day-casablanca-to-marrakech-koutoubia-mosque-marrakech-cover.webp,2-day-casablanca-to-marrakech-koutoubia-mosque-marrakech-cover.webp,1250,740,145356,f6bb0b489340166c0a60c570beb21340f345a76416815372b34d12734bc58033,no,,safe-new-file,,planned
Desert Tours from Casablanca,3-day Casablanca to Chefchaouen and Fes,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\3-day Casablanca to Chefchaouen and Fes\3-day-casablanca-to-chefchaouen-and-fes-chefchaouen-blue-medina-street-cover.webp,Desert Tours from Casablanca\3-day Casablanca to Chefchaouen and Fes\3-day-casablanca-to-chefchaouen-and-fes-chefchaouen-blue-medina-street-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\3-day Casablanca to Chefchaouen and Fes\3-day-casablanca-to-chefchaouen-and-fes-chefchaouen-blue-medina-street-cover.webp,3-day-casablanca-to-chefchaouen-and-fes-chefchaouen-blue-medina-street-cover.webp,850,591,202808,359612853ce82b4d40a40dacac228a48d401feefc278d076a400b3f85245744c,no,,safe-new-file,,planned
Desert Tours from Casablanca,3-day Casablanca to Chefchaouen and Fes,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\3-day Casablanca to Chefchaouen and Fes\3-day-casablanca-to-chefchaouen-and-fes-fes-medina-souk-crafts-gallery.webp,Desert Tours from Casablanca\3-day Casablanca to Chefchaouen and Fes\3-day-casablanca-to-chefchaouen-and-fes-fes-medina-souk-crafts-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\3-day Casablanca to Chefchaouen and Fes\3-day-casablanca-to-chefchaouen-and-fes-fes-medina-souk-crafts-gallery.webp,3-day-casablanca-to-chefchaouen-and-fes-fes-medina-souk-crafts-gallery.webp,1200,937,295160,997e406c7c8234eb1f81a5b11e7dbdbc22ef5e6f5155da2e66c38cf11f120cb6,no,,safe-new-file,,planned
Desert Tours from Casablanca,3-day Casablanca to Marrakech and Essaouira,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\3-day Casablanca to Marrakech and Essaouira\3-day-casablanca-to-marrakech-and-essaouira-essaouira-skala-ramparts-ocean-cover.webp,Desert Tours from Casablanca\3-day Casablanca to Marrakech and Essaouira\3-day-casablanca-to-marrakech-and-essaouira-essaouira-skala-ramparts-ocean-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\3-day Casablanca to Marrakech and Essaouira\3-day-casablanca-to-marrakech-and-essaouira-essaouira-skala-ramparts-ocean-cover.webp,3-day-casablanca-to-marrakech-and-essaouira-essaouira-skala-ramparts-ocean-cover.webp,655,468,90756,4304a00aac9c9257c54be42d583a3354a7e965d5777e52349a0846d46b3ecb6c,no,,safe-new-file,,planned
Desert Tours from Casablanca,3-day Casablanca to Marrakech and Essaouira,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\3-day Casablanca to Marrakech and Essaouira\3-day-casablanca-to-marrakech-and-essaouira-marrakech-souk-basket-handicrafts-gallery.webp,Desert Tours from Casablanca\3-day Casablanca to Marrakech and Essaouira\3-day-casablanca-to-marrakech-and-essaouira-marrakech-souk-basket-handicrafts-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\3-day Casablanca to Marrakech and Essaouira\3-day-casablanca-to-marrakech-and-essaouira-marrakech-souk-basket-handicrafts-gallery.webp,3-day-casablanca-to-marrakech-and-essaouira-marrakech-souk-basket-handicrafts-gallery.webp,800,534,142578,909fb19944a2298b4838e43bb91619b16f5a822bf7c685cb5c0ef50a377fc255,no,,safe-new-file,,planned
Desert Tours from Casablanca,5-day Casablanca to Sahara desert,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\5-day Casablanca to Sahara desert\5-day-casablanca-to-sahara-desert-ait-benhaddou-kasbah-dusk-gallery.webp,Desert Tours from Casablanca\5-day Casablanca to Sahara desert\5-day-casablanca-to-sahara-desert-ait-benhaddou-kasbah-dusk-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\5-day Casablanca to Sahara desert\5-day-casablanca-to-sahara-desert-ait-benhaddou-kasbah-dusk-gallery.webp,5-day-casablanca-to-sahara-desert-ait-benhaddou-kasbah-dusk-gallery.webp,1600,1067,175174,08faf03c892157e508193817e1caab50660de824afeaa34495bee37cd8af9088,no,,safe-new-file,,planned
Desert Tours from Casablanca,5-day Casablanca to Sahara desert,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\5-day Casablanca to Sahara desert\5-day-casablanca-to-sahara-desert-erg-chebbi-camel-caravan-sunset-cover.webp,Desert Tours from Casablanca\5-day Casablanca to Sahara desert\5-day-casablanca-to-sahara-desert-erg-chebbi-camel-caravan-sunset-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\5-day Casablanca to Sahara desert\5-day-casablanca-to-sahara-desert-erg-chebbi-camel-caravan-sunset-cover.webp,5-day-casablanca-to-sahara-desert-erg-chebbi-camel-caravan-sunset-cover.webp,720,480,36394,63aa6e84783e33fce3ba24e0f913b9ac07366b588a6090936c1531970c190592,no,,safe-new-file,,planned
Desert Tours from Casablanca,7-day Casablanca to imperial cities and Sahara,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\7-day Casablanca to imperial cities and Sahara\7-day-casablanca-to-imperial-cities-and-sahara-bab-mansour-gate-meknes-cover.webp,Desert Tours from Casablanca\7-day Casablanca to imperial cities and Sahara\7-day-casablanca-to-imperial-cities-and-sahara-bab-mansour-gate-meknes-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\7-day Casablanca to imperial cities and Sahara\7-day-casablanca-to-imperial-cities-and-sahara-bab-mansour-gate-meknes-cover.webp,7-day-casablanca-to-imperial-cities-and-sahara-bab-mansour-gate-meknes-cover.webp,1600,1071,554938,6cc746e732db209c5c492ed3c3b664a46bffba021715fc7fad6fbff26413027b,no,,safe-new-file,,planned
Desert Tours from Casablanca,7-day Casablanca to imperial cities and Sahara,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\7-day Casablanca to imperial cities and Sahara\7-day-casablanca-to-imperial-cities-and-sahara-sahara-desert-camp-sunset-gallery.webp,Desert Tours from Casablanca\7-day Casablanca to imperial cities and Sahara\7-day-casablanca-to-imperial-cities-and-sahara-sahara-desert-camp-sunset-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\7-day Casablanca to imperial cities and Sahara\7-day-casablanca-to-imperial-cities-and-sahara-sahara-desert-camp-sunset-gallery.webp,7-day-casablanca-to-imperial-cities-and-sahara-sahara-desert-camp-sunset-gallery.webp,640,479,69276,834d9f5b3d43e7b7aa769b9e26b20f30e6b0096a15e179e2c37453a452613824,no,,safe-new-file,,planned
Desert Tours from Casablanca,9-day private tour from Casablanca,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\9-day private tour from Casablanca\9-day-private-tour-from-casablanca-agadir-marina-boats-gallery.webp,Desert Tours from Casablanca\9-day private tour from Casablanca\9-day-private-tour-from-casablanca-agadir-marina-boats-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\9-day private tour from Casablanca\9-day-private-tour-from-casablanca-agadir-marina-boats-gallery.webp,9-day-private-tour-from-casablanca-agadir-marina-boats-gallery.webp,678,452,68246,ab6b4fa7d67058660d3977d976c287e30d86baf771c11fb6f12ebb68732d02c4,no,,safe-new-file,,planned
Desert Tours from Casablanca,9-day private tour from Casablanca,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Desert Tours from Casablanca\9-day private tour from Casablanca\9-day-private-tour-from-casablanca-todra-gorge-canyon-road-cover.webp,Desert Tours from Casablanca\9-day private tour from Casablanca\9-day-private-tour-from-casablanca-todra-gorge-canyon-road-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Desert Tours from Casablanca\9-day private tour from Casablanca\9-day-private-tour-from-casablanca-todra-gorge-canyon-road-cover.webp,9-day-private-tour-from-casablanca-todra-gorge-canyon-road-cover.webp,1800,1196,519300,be3890a030149b2686dbc6cb21edf20bd7569e92a6025a4ba84fc94b039f700d,no,,safe-new-file,,planned
Tours from Agadir,2-day Agadir to Zagora desert,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Tours from Agadir\2-day Agadir to Zagora desert\2-day-agadir-to-zagora-desert-draa-valley-kasbah-village-cover.webp,Tours from Agadir\2-day Agadir to Zagora desert\2-day-agadir-to-zagora-desert-draa-valley-kasbah-village-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Tours from Agadir\2-day Agadir to Zagora desert\2-day-agadir-to-zagora-desert-draa-valley-kasbah-village-cover.webp,2-day-agadir-to-zagora-desert-draa-valley-kasbah-village-cover.webp,1800,1185,520992,d2cbab9435746c270685fa92c73260a5199cdd9b4f024a3740d6d9b5ac58314d,no,,safe-new-file,,planned
Tours from Agadir,2-day Agadir to Zagora desert,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Tours from Agadir\2-day Agadir to Zagora desert\2-day-agadir-to-zagora-desert-zagora-desert-rock-formations-gallery.webp,Tours from Agadir\2-day Agadir to Zagora desert\2-day-agadir-to-zagora-desert-zagora-desert-rock-formations-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Tours from Agadir\2-day Agadir to Zagora desert\2-day-agadir-to-zagora-desert-zagora-desert-rock-formations-gallery.webp,2-day-agadir-to-zagora-desert-zagora-desert-rock-formations-gallery.webp,1500,997,256790,6461f4aa8b3ac500f8e9cb4d0037c69417db702feb1560c61785d2d2f4399e5c,no,,safe-new-file,,planned
Tours from Agadir,3-day Agadir to Chigaga desert,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Tours from Agadir\3-day Agadir to Chigaga desert\3-day-agadir-to-chigaga-desert-erg-chigaga-dunes-desert-camp-gallery.webp,Tours from Agadir\3-day Agadir to Chigaga desert\3-day-agadir-to-chigaga-desert-erg-chigaga-dunes-desert-camp-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Tours from Agadir\3-day Agadir to Chigaga desert\3-day-agadir-to-chigaga-desert-erg-chigaga-dunes-desert-camp-gallery.webp,3-day-agadir-to-chigaga-desert-erg-chigaga-dunes-desert-camp-gallery.webp,581,344,45840,988d1e785e18c6442161d8c9eacd0b8f0032625e9cbe5e135e90e4932c7563c9,no,,safe-new-file,,planned
Tours from Agadir,3-day Agadir to Chigaga desert,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Tours from Agadir\3-day Agadir to Chigaga desert\3-day-agadir-to-chigaga-desert-sahara-dunes-berber-tea-setting-cover.webp,Tours from Agadir\3-day Agadir to Chigaga desert\3-day-agadir-to-chigaga-desert-sahara-dunes-berber-tea-setting-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Tours from Agadir\3-day Agadir to Chigaga desert\3-day-agadir-to-chigaga-desert-sahara-dunes-berber-tea-setting-cover.webp,3-day-agadir-to-chigaga-desert-sahara-dunes-berber-tea-setting-cover.webp,1024,576,78230,5aae73f7549506eac2bcacdbb2887db6bd488aa2cadbc20ef4a19c979826003d,no,,safe-new-file,,planned
Tours from Agadir,4-day Agadir to Merzouga desert,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Tours from Agadir\4-day Agadir to Merzouga desert\4-day-agadir-to-merzouga-desert-merzouga-dunes-motorbike-ride-cover.webp,Tours from Agadir\4-day Agadir to Merzouga desert\4-day-agadir-to-merzouga-desert-merzouga-dunes-motorbike-ride-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Tours from Agadir\4-day Agadir to Merzouga desert\4-day-agadir-to-merzouga-desert-merzouga-dunes-motorbike-ride-cover.webp,4-day-agadir-to-merzouga-desert-merzouga-dunes-motorbike-ride-cover.webp,1024,576,29858,3326492f152418b3b2f57319c914c6a11380d468048d8b3815a412bd610f4aab,no,,safe-new-file,,planned
Tours from Agadir,4-day Agadir to Merzouga desert,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Tours from Agadir\4-day Agadir to Merzouga desert\4-day-agadir-to-merzouga-desert-taroudant-city-walls-gate-gallery.webp,Tours from Agadir\4-day Agadir to Merzouga desert\4-day-agadir-to-merzouga-desert-taroudant-city-walls-gate-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Tours from Agadir\4-day Agadir to Merzouga desert\4-day-agadir-to-merzouga-desert-taroudant-city-walls-gate-gallery.webp,4-day-agadir-to-merzouga-desert-taroudant-city-walls-gate-gallery.webp,676,454,96704,6be1b1170e81b14198cf6312936d121713e2e4d56a8ffae0255aac48d2a676a1,no,,safe-new-file,,planned
Tours from Chefchaouen,5-day Chefchaouen to Sahara desert,cover,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Tours from Chefchaouen\5-day Chefchaouen to Sahara desert\5-day-chefchaouen-to-sahara-desert-chefchaouen-rooftops-rif-mountains-cover.webp,Tours from Chefchaouen\5-day Chefchaouen to Sahara desert\5-day-chefchaouen-to-sahara-desert-chefchaouen-rooftops-rif-mountains-cover.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Tours from Chefchaouen\5-day Chefchaouen to Sahara desert\5-day-chefchaouen-to-sahara-desert-chefchaouen-rooftops-rif-mountains-cover.webp,5-day-chefchaouen-to-sahara-desert-chefchaouen-rooftops-rif-mountains-cover.webp,679,452,81472,2c6a5757d08c59689716a71dc29247ff4f57b9926d55367bc95651cd70492ae6,no,,safe-new-file,,planned
Tours from Chefchaouen,5-day Chefchaouen to Sahara desert,gallery,C:\Users\ASUS\Desktop\authentic morocco adventures pictures\webp-production-ready\Tours from Chefchaouen\5-day Chefchaouen to Sahara desert\5-day-chefchaouen-to-sahara-desert-erg-chebbi-camel-caravan-guides-gallery.webp,Tours from Chefchaouen\5-day Chefchaouen to Sahara desert\5-day-chefchaouen-to-sahara-desert-erg-chebbi-camel-caravan-guides-gallery.webp,C:\Users\ASUS\Desktop\Clients\LocalMoroccoTours\LocalMoroccoTours\public\assets\images\programs\Tours from Chefchaouen\5-day Chefchaouen to Sahara desert\5-day-chefchaouen-to-sahara-desert-erg-chebbi-camel-caravan-guides-gallery.webp,5-day-chefchaouen-to-sahara-desert-erg-chebbi-camel-caravan-guides-gallery.webp,1800,1198,201194,414e90a4f76d249449685656ce9eebbe140e75b7696d62799f0cfdea50da1055,no,,safe-new-file,,planned
