record_index,section,data_title,data_slug,data_category,data_duration,image_category,image_program_folder,cover_filename,gallery_filename,match_status,confidence,matching_evidence,conflict,recommended_action,notes
10,tour,Marrakech to Fes Desert Tour — 3 Days via Sahara,marrakech-to-fes-desert-tour-3-days-via-sahara,Tours from Marrakech,3 days,Tours from Marrakech,3-day Marrakech to Merzouga and Fes,3-day-marrakech-to-merzouga-and-fes-fes-medina-tanneries-aerial-cover.webp,3-day-marrakech-to-merzouga-and-fes-dades-gorge-winding-road-gallery.webp,high-confidence,0.88,Duration matches: 3 days | Origin matches: Marrakech | One-way endpoint matches: Fes | Merzouga is the Sahara leg of the Marrakech-Fes crossing,,assign,
11,tour,4 Day Desert Tour from Marrakech to Merzouga,4-day-desert-tour-from-marrakech-to-merzouga,Tours from Marrakech,4 days,Tours from Marrakech,4-day Marrakech to Merzouga,4-day-marrakech-to-merzouga-erg-chebbi-camel-trek-tourists-cover.webp,4-day-marrakech-to-merzouga-ait-benhaddou-kasbah-sunset-gallery.webp,normalized-exact,0.97,Duration matches: 4 days | Origin matches: Marrakech | Destination matches: Merzouga,,assign,
12,tour,4-Day Desert Tour from Marrakech via Sahara to Chefchaouen,4-day-desert-tour-from-marrakech-via-sahara-to-chefchaouen,Tours from Marrakech,4 days,Tours from Marrakech,4-day Marrakech to Chefchaouen via Sahara,4-day-marrakech-to-chefchaouen-via-sahara-chefchaouen-blue-medina-archway-cover.webp,4-day-marrakech-to-chefchaouen-via-sahara-sahara-dunes-camel-berber-guide-gallery.webp,normalized-exact,0.97,Duration matches: 4 days | Origin matches: Marrakech | Endpoint matches: Chefchaouen | Route via Sahara matches,,assign,
13,tour,Luxury Sahara Desert Tour from Marrakech — 5 Days,luxury-sahara-desert-tour-from-marrakech-5-days,Tours from Marrakech,5 days,Tours from Marrakech,5-day Marrakech to Merzouga desert,5-day-marrakech-to-merzouga-desert-merzouga-desert-camp-aerial-cover.webp,5-day-marrakech-to-merzouga-desert-dades-gorges-sunset-road-gallery.webp,high-confidence,0.85,"Duration matches: 5 days | Origin matches: Marrakech | Itinerary verified: Merzouga desert loop (Ait Benhaddou, Dades, Todra, Merzouga) | Only 5-day Marrakech desert program",,assign,Record title emphasises 'Luxury' but is the same 5-day Marrakech-Merzouga loop as the image folder.
14,tour,8 Days Marrakech: Zagora & Merzouga,8-days-marrakech-zagora-and-merzouga,Tours from Marrakech,8 days,Tours from Marrakech,8-day Marrakech to Zagora and Merzouga,8-day-marrakech-to-zagora-and-merzouga-draa-valley-palm-grove-jbel-kissane-cover.webp,8-day-marrakech-to-zagora-and-merzouga-zagora-desert-camel-ride-shadows-gallery.webp,normalized-exact,0.95,Duration matches: 8 days | Origin matches: Marrakech | Destinations match: Zagora and Merzouga,,assign,
15,tour,8-Day Marrakech Sahara Desert Tour to Fes & Chefchaouen,8-day-marrakech-sahara-desert-tour-to-fes-and-chefchaouen,Tours from Marrakech,8 days,Tours from Marrakech,8-day Marrakech desert Chefchaouen,8-day-marrakech-desert-chefchaouen-chefchaouen-blue-city-hillside-cover.webp,8-day-marrakech-desert-chefchaouen-sahara-camel-caravan-sunset-gallery.webp,high-confidence,0.88,Duration matches: 8 days | Origin matches: Marrakech | Endpoint matches: Chefchaouen | Distinct from the 8-day Zagora & Merzouga loop,,assign,
16,tour,2 Days Fes to Chefchaouen,2-days-fes-to-chefchaouen,Tours from Fes,2 days,Tours from Fes,2-day Fes to Chefchaouen and back,2-day-fes-to-chefchaouen-and-back-chefchaouen-medina-valley-panorama-cover.webp,2-day-fes-to-chefchaouen-and-back-chefchaouen-blue-doors-flower-pots-gallery.webp,normalized-exact,0.92,Duration matches: 2 days | Origin matches: Fes | Destination matches: Chefchaouen | Itinerary verified: Day 2 returns Chefchaouen to Fes,,assign,
17,tour,2 Days Fes to Sahara Desert & Back,2-days-fes-to-sahara-desert-and-back,Tours from Fes,2 days,Tours from Fes,2-day Fes to Merzouga and back,2-day-fes-to-merzouga-and-back-merzouga-dome-desert-camp-dunes-cover.webp,2-day-fes-to-merzouga-and-back-azrou-cedar-forest-barbary-macaques-gallery.webp,high-confidence,0.88,Duration matches: 2 days | Origin matches: Fes | Return route matches: '& Back' | Merzouga is the Sahara destination for Fes desert tours; only 2-day Fes desert program,,assign,"Record says 'Sahara Desert', folder says 'Merzouga' - same program; Merzouga is the Sahara dune destination from Fes."
18,tour,3 Days Fes to Merzouga Desert,3-days-fes-to-merzouga-desert,Tours from Fes,3 days,Tours from Fes,3-day Fes to Merzouga desert and back,3-day-fes-to-merzouga-desert-and-back-merzouga-guided-camel-trek-cover.webp,3-day-fes-to-merzouga-desert-and-back-erg-chebbi-dunes-sunset-gallery.webp,normalized-exact,0.92,Duration matches: 3 days | Origin matches: Fes | Destination matches: Merzouga | Itinerary verified: Day 3 returns Merzouga to Fes,,assign,
19,tour,3-Day Fes to Marrakech Desert Tour via Sahara,3-day-fes-to-marrakech-desert-tour-via-sahara,Tours from Fes,3 days,Tours from Fes,3-day Fes to Merzouga dunes and Marrakech,3-day-fes-to-merzouga-dunes-and-marrakech-todra-gorge-canyon-carpets-cover.webp,3-day-fes-to-merzouga-dunes-and-marrakech-koutoubia-mosque-marrakech-gallery.webp,high-confidence,0.89,Duration matches: 3 days | Origin matches: Fes | One-way endpoint matches: Marrakech | Sahara/Merzouga dunes leg matches 'via Sahara',,assign,
20,tour,4-Day Fes to Marrakech Desert Tour via Merzouga,4-day-fes-to-marrakech-desert-tour-via-merzouga,Tours from Fes,4 days,Tours from Fes,4-day Fes to Sahara and Marrakech,4-day-fes-to-sahara-and-marrakech-merzouga-camel-caravan-sunset-cover.webp,4-day-fes-to-sahara-and-marrakech-dades-valley-red-hills-fields-gallery.webp,high-confidence,0.89,Duration matches: 4 days | Origin matches: Fes | One-way endpoint matches: Marrakech | Sahara leg matches 'via Merzouga',,assign,
21,tour,5-Day Fes to Marrakech Desert Tour via Sahara,5-day-fes-to-marrakech-desert-tour-via-sahara,Tours from Fes,5 days,Tours from Fes,5-day Fes to Merzouga and Marrakech,5-day-fes-to-merzouga-and-marrakech-erg-chebbi-dune-berber-guide-cover.webp,5-day-fes-to-merzouga-and-marrakech-ait-benhaddou-kasbah-river-gallery.webp,high-confidence,0.89,Duration matches: 5 days | Origin matches: Fes | One-way endpoint matches: Marrakech | Merzouga leg matches 'via Sahara',,assign,
22,tour,12-Day Morocco Desert Tours from Tangier,12-day-morocco-desert-tours-from-tangier,Tours from Tangier,12 days,Tours from Tangier,12-day Tangier grand tour,12-day-tangier-grand-tour-tangier-medina-old-walls-cover.webp,12-day-tangier-grand-tour-morocco-highlights-brand-collage-gallery.webp,normalized-exact,0.9,Duration matches: 12 days | Origin matches: Tangier | Only 12-day Tangier program; grand-tour scope matches,,assign,
23,tour,2-Day Morocco Desert Tour from Tangier to Chefchaouen,2-day-morocco-desert-tour-from-tangier-to-chefchaouen,Tours from Tangier,2 days,Tours from Tangier,2-day Tangier to Chefchaouen,2-day-tangier-to-chefchaouen-cape-spartel-lighthouse-tangier-cover.webp,2-day-tangier-to-chefchaouen-chefchaouen-night-panorama-gallery.webp,normalized-exact,0.97,Duration matches: 2 days | Origin matches: Tangier | Destination matches: Chefchaouen,,assign,
24,tour,3-Day Morocco Desert Tour from Tangier to Chefchaouen & Fes,3-day-morocco-desert-tour-from-tangier-to-chefchaouen-and-fes,Tours from Tangier,3 days,Tours from Tangier,3-day North Morocco from Tangier,3-day-north-morocco-from-tangier-tetouan-white-medina-square-cover.webp,3-day-north-morocco-from-tangier-chefchaouen-medina-souvenir-shops-gallery.webp,high-confidence,0.82,"Duration matches: 3 days | Origin matches: Tangier | Itinerary is a northern-Morocco loop (Chefchaouen, Fes, Meknes, Rabat, Asilah) matching 'North Morocco' | Only 3-day Tangier program",,assign,"Cover image shows Tetouan's medina, which is in the same northern region but not explicitly listed in the itinerary. Consider replacing if exact itinerary matching is required."
25,tour,4-Day Morocco Desert Tour from Tangier to Fes via Atlantic Coast,4-day-morocco-desert-tour-from-tangier-to-fes-via-atlantic-coast,Tours from Tangier,4 days,Tours from Tangier,4-day Tangier to Fes and Atlantic coast,4-day-tangier-to-fes-and-atlantic-coast-asilah-medina-atlantic-coast-cover.webp,4-day-tangier-to-fes-and-atlantic-coast-fes-chouara-tannery-gallery.webp,normalized-exact,0.95,Duration matches: 4 days | Origin matches: Tangier | Endpoint matches: Fes | Route matches: Atlantic coast,,assign,
26,tour,6-Day Morocco Desert Tour from Tangier to Sahara & Marrakech,6-day-morocco-desert-tour-from-tangier-to-sahara-and-marrakech,Tours from Tangier,6 days,Tours from Tangier,6-day Tangier to desert,6-day-tangier-to-desert-merzouga-dunes-quad-biking-cover.webp,6-day-tangier-to-desert-volubilis-roman-ruins-arch-gallery.webp,high-confidence,0.88,Duration matches: 6 days | Origin matches: Tangier | Itinerary verified: Merzouga desert on Days 4-5 | Only 6-day Tangier program,,assign,
27,tour,9-Day Morocco Desert Tour from Tangier to Merzouga,9-day-morocco-desert-tour-from-tangier-to-merzouga,Tours from Tangier,9 days,Tours from Tangier,9-day Tangier to desert,9-day-tangier-to-desert-sahara-camel-caravan-dune-shadows-cover.webp,9-day-tangier-to-desert-merzouga-camel-caravan-berber-guides-gallery.webp,high-confidence,0.88,Duration matches: 9 days | Origin matches: Tangier | Itinerary verified: Merzouga desert with camel trek | Only 9-day Tangier program,,assign,
28,tour,2 Days Agadir to Zagora Desert,2-days-agadir-to-zagora-desert,Tours from Agadir,2 days / 1 night,Tours from Agadir,2-day Agadir to Zagora desert,2-day-agadir-to-zagora-desert-draa-valley-kasbah-village-cover.webp,2-day-agadir-to-zagora-desert-zagora-desert-rock-formations-gallery.webp,normalized-exact,0.98,Duration matches: 2 days | Origin matches: Agadir | Destination matches: Zagora desert,,assign,
29,tour,3 Days Agadir to Chigaga Desert,3-days-agadir-to-chigaga-desert,Tours from Agadir,3 days / 2 nights,Tours from Agadir,3-day Agadir to Chigaga desert,3-day-agadir-to-chigaga-desert-sahara-dunes-berber-tea-setting-cover.webp,3-day-agadir-to-chigaga-desert-erg-chigaga-dunes-desert-camp-gallery.webp,normalized-exact,0.98,Duration matches: 3 days | Origin matches: Agadir | Destination matches: Chigaga desert,,assign,
30,tour,4 Days Agadir to Merzouga Desert,4-days-agadir-to-merzouga-desert,Tours from Agadir,4 days / 3 nights,Tours from Agadir,4-day Agadir to Merzouga desert,4-day-agadir-to-merzouga-desert-merzouga-dunes-motorbike-ride-cover.webp,4-day-agadir-to-merzouga-desert-taroudant-city-walls-gate-gallery.webp,normalized-exact,0.98,Duration matches: 4 days | Origin matches: Agadir | Destination matches: Merzouga desert,,assign,
31,tour,5-Day Morocco Desert Tour from Chefchaouen to Sahara,5-day-morocco-desert-tour-from-chefchaouen-to-sahara,Tours from Chefchaouen,5 days / 4 nights,Tours from Chefchaouen,5-day Chefchaouen to Sahara desert,5-day-chefchaouen-to-sahara-desert-chefchaouen-rooftops-rif-mountains-cover.webp,5-day-chefchaouen-to-sahara-desert-erg-chebbi-camel-caravan-guides-gallery.webp,normalized-exact,0.95,Duration matches: 5 days | Origin matches: Chefchaouen | Destination matches: Sahara,,assign,
32,tour,6-Day Morocco Desert Tour from Chefchaouen to Marrakech,6-day-morocco-desert-tour-from-chefchaouen-to-marrakech,Tours from Chefchaouen,6 days / 5 nights,Tours from Chefchaouen,6-day Chefchaouen to Marrakech desert,6-day-chefchaouen-to-marrakech-desert-sahara-luxury-desert-camp-dining-cover.webp,6-day-chefchaouen-to-marrakech-desert-chefchaouen-blue-medina-alley-gallery.webp,normalized-exact,0.95,Duration matches: 6 days | Origin matches: Chefchaouen | Endpoint matches: Marrakech,,assign,
33,tour,7-Day Morocco Desert Tour from Chefchaouen Around Morocco,7-day-morocco-desert-tour-from-chefchaouen-around-morocco,Tours from Chefchaouen,7 days / 6 nights,Tours from Chefchaouen,7-day around Morocco from Chefchaouen,7-day-around-morocco-from-chefchaouen-chefchaouen-blue-city-panorama-cover.webp,7-day-around-morocco-from-chefchaouen-volubilis-roman-ruins-gallery.webp,normalized-exact,0.95,Duration matches: 7 days | Origin matches: Chefchaouen | 'Around Morocco' matches,,assign,
34,tour,2 Days Ouarzazate to Merzouga,2-days-ouarzazate-to-merzouga,Tours from Ouarzazate,2 days / 1 nights,Tours from Ouarzazate,2-day Ouarzazate to Merzouga and back,2-day-ouarzazate-to-merzouga-and-back-merzouga-luxury-desert-camp-aerial-cover.webp,2-day-ouarzazate-to-merzouga-and-back-ouarzazate-taourirt-kasbah-gallery.webp,normalized-exact,0.92,Duration matches: 2 days | Origin matches: Ouarzazate | Destination matches: Merzouga | Itinerary verified: Day 2 returns to Ouarzazate,,assign,
35,tour,3 Days Ouarzazate: Merzouga & Fes,3-days-ouarzazate-merzouga-and-fes,Tours from Ouarzazate,3 days / 2 nights,Tours from Ouarzazate,3-day Ouarzazate to Merzouga and Fes,3-day-ouarzazate-to-merzouga-and-fes-todra-gorge-canyon-walk-cover.webp,3-day-ouarzazate-to-merzouga-and-fes-merzouga-camel-trek-group-gallery.webp,normalized-exact,0.95,Duration matches: 3 days | Origin matches: Ouarzazate | Destinations match: Merzouga and Fes,,assign,
36,tour,3 Days Ouarzazate to Merzouga Desert,3-days-ouarzazate-to-merzouga-desert,Tours from Ouarzazate,3 days / 2 nights,Tours from Ouarzazate,3-day Ouarzazate to Merzouga desert,3-day-ouarzazate-to-merzouga-desert-erg-chebbi-dunes-sunrise-cover.webp,3-day-ouarzazate-to-merzouga-desert-ait-benhaddou-kasbah-atlas-dusk-gallery.webp,normalized-exact,0.98,Duration matches: 3 days | Origin matches: Ouarzazate | Destination matches: Merzouga desert,,assign,
37,tour,11 Days Grand Morocco Tour,11-days-grand-morocco-tour,Tours from Casablanca,11 days / 10 nights,Desert Tours from Casablanca,11-day grand tour from Casablanca,11-day-grand-tour-from-casablanca-hassan-ii-mosque-casablanca-cover.webp,11-day-grand-tour-from-casablanca-skoura-oasis-kasbah-camel-gallery.webp,normalized-exact,0.92,Duration matches: 11 days | Category matches: Tours from Casablanca | 'Grand tour' wording matches,,assign,
38,tour,14 Days Grand Morocco Tour,14-days-grand-morocco-tour,Tours from Casablanca,14 days / 13 nights,Desert Tours from Casablanca,14-day grand Morocco tour from Casablanca,14-day-grand-morocco-tour-from-casablanca-chefchaouen-blue-city-sunset-cover.webp,14-day-grand-morocco-tour-from-casablanca-tizi-n-test-mountain-road-gallery.webp,normalized-exact,0.95,Duration matches: 14 days | Category matches: Tours from Casablanca | 'Grand Morocco tour' matches,,assign,
39,tour,2 Days Casablanca to Marrakech,2-days-casablanca-to-marrakech,Tours from Casablanca,2 Days / 1 Night,Desert Tours from Casablanca,2-day Casablanca to Marrakech,2-day-casablanca-to-marrakech-koutoubia-mosque-marrakech-cover.webp,2-day-casablanca-to-marrakech-casablanca-skyline-hassan-ii-mosque-gallery.webp,normalized-exact,0.98,Duration matches: 2 days | Origin matches: Casablanca | Destination matches: Marrakech,,assign,
40,tour,3 Days Casablanca: Chefchaouen & Fes,3-days-casablanca-chefchaouen-and-fes,Tours from Casablanca,3 days / 2 nights,Desert Tours from Casablanca,3-day Casablanca to Chefchaouen and Fes,3-day-casablanca-to-chefchaouen-and-fes-chefchaouen-blue-medina-street-cover.webp,3-day-casablanca-to-chefchaouen-and-fes-fes-medina-souk-crafts-gallery.webp,normalized-exact,0.95,Duration matches: 3 days | Origin matches: Casablanca | Destinations match: Chefchaouen and Fes,,assign,
41,tour,3 Days Casablanca: Marrakech & Essaouira,3-days-casablanca-marrakech-and-essaouira,Tours from Casablanca,3 days / 2 nights,Desert Tours from Casablanca,3-day Casablanca to Marrakech and Essaouira,3-day-casablanca-to-marrakech-and-essaouira-essaouira-skala-ramparts-ocean-cover.webp,3-day-casablanca-to-marrakech-and-essaouira-marrakech-souk-basket-handicrafts-gallery.webp,normalized-exact,0.95,Duration matches: 3 days | Origin matches: Casablanca | Destinations match: Marrakech and Essaouira,,assign,
42,tour,5 Days Casablanca Sahara Desert,5-days-casablanca-sahara-desert,Tours from Casablanca,5 days / 4 nights,Desert Tours from Casablanca,5-day Casablanca to Sahara desert,5-day-casablanca-to-sahara-desert-erg-chebbi-camel-caravan-sunset-cover.webp,5-day-casablanca-to-sahara-desert-ait-benhaddou-kasbah-dusk-gallery.webp,normalized-exact,0.95,Duration matches: 5 days | Origin matches: Casablanca | Destination matches: Sahara desert,,assign,
43,tour,7 Days Sahara & Imperial Cities,7-days-sahara-and-imperial-cities,Tours from Casablanca,7 days / 6 nights,Desert Tours from Casablanca,7-day Casablanca to imperial cities and Sahara,7-day-casablanca-to-imperial-cities-and-sahara-bab-mansour-gate-meknes-cover.webp,7-day-casablanca-to-imperial-cities-and-sahara-sahara-desert-camp-sunset-gallery.webp,high-confidence,0.88,Duration matches: 7 days | Category matches: Tours from Casablanca | Terms match: Sahara + imperial cities | Itinerary starts in Casablanca,,assign,Record title omits Casablanca but category and Day 1 (Casablanca to Rabat and Chefchaouen) confirm the same program.
44,tour,9 Days Private Tour from Casablanca,9-days-private-tour-from-casablanca,Tours from Casablanca,9 days / 8 nights,Desert Tours from Casablanca,9-day private tour from Casablanca,9-day-private-tour-from-casablanca-todra-gorge-canyon-road-cover.webp,9-day-private-tour-from-casablanca-agadir-marina-boats-gallery.webp,normalized-exact,0.98,Duration matches: 9 days | Origin matches: Casablanca | 'Private tour' matches,,assign,
45,tour,2 Days Casablanca to Chefchaouen,2-days-casablanca-to-chefchaouen,Tours from Casablanca,2 days / 1 nights,Desert Tours from Casablanca,2-day Casablanca to Chefchaouen,2-day-casablanca-to-chefchaouen-chefchaouen-blue-medina-stairs-cover.webp,2-day-casablanca-to-chefchaouen-chefchaouen-medina-carpet-souk-gallery.webp,normalized-exact,0.98,Duration matches: 2 days | Origin matches: Casablanca | Destination matches: Chefchaouen,,assign,
46,tour,4 Days Atlas & Zagora Desert Tour,4-days-atlas-and-zagora-desert-tour,Combined Tours,4 days,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
47,tour,5 Days Toubkal & Merzouga Tour,5-days-toubkal-and-merzouga-tour,Combined Tours,5 days,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
48,tour,Marrakech to Essaouira Day Trip,marrakech-to-essaouira-day-trip,Marrakech Day Trips,1 day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
49,tour,Agafay Desert Tour from Marrakech,agafay-desert-tour-from-marrakech,Marrakech Day Trips,1 day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
50,tour,Marrakech to Ait Benhaddou Day Trip,marrakech-to-ait-benhaddou-day-trip,Marrakech Day Trips,1 day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
51,tour,Marrakech to Ourika Valley Day Trip,marrakech-to-ourika-valley-day-trip,Marrakech Day Trips,1 day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
52,tour,Marrakech to Ouzoud Waterfalls Day Trip,marrakech-to-ouzoud-waterfalls-day-trip,Marrakech Day Trips,1 day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
53,tour,Fes to Atlas Mountains Day Trip,fes-to-atlas-mountains-day-trip,Fes Day Trips,1 day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
54,tour,Fes to Chefchaouen Day Trip,fes-to-chefchaouen-day-trip,Fes Day Trips,1 long day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
55,tour,Meknes & Volubilis Day Trip from Fes,meknes-and-volubilis-day-trip-from-fes,Fes Day Trips,1 day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
56,tour,Rabat Day Trip from Fes,rabat-day-trip-from-fes,Fes Day Trips,1 long day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
57,tour,Guided Medina Tour in Fes,guided-medina-tour-in-fes,Fes Day Trips,Half day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
58,tour,Casablanca to Fes Day Trip,casablanca-to-fes-day-trip,Casablanca Day Trips,1 long day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
59,tour,Casablanca to Marrakech Day Trip,casablanca-to-marrakech-day-trip,Casablanca Day Trips,1 long day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
60,tour,Casablanca to Rabat Day Trip,casablanca-to-rabat-day-trip,Casablanca Day Trips,1 day,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
61,tour,15-Day Spain & Morocco Private Tour,15-day-spain-and-morocco-private-tour,Spain & Morocco Tours,,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
62,activity,Marrakech Horse Riding Tour,marrakech-horse-riding-tour,Marrakech Activities,2 hours,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
63,activity,Agafay Desert Tour from Marrakech — Luxury Camp,agafay-desert-tour-from-marrakech-luxury-camp,Marrakech Activities,1 night,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
64,activity,Marrakech Camel Ride — Palmeraie,marrakech-camel-ride-palmeraie,Marrakech Activities,2 hours,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
65,activity,Chez Ali Fantasia Show,chez-ali-fantasia-show,Marrakech Activities,,,,,,unmatched-record,0,,,leave-unmatched,"No image folder corresponds to this program (day trips, activities, combined and Spain tours have no photo sets)."
